Form/Shape,colony Color,Colony margin,Gram’s Staining,Cell shape
Circular,Creamy,Regular,"Gram +ve,",Rod
Regular,Creamy,irregular,"Gram +ve,",Rod
Regular,Creamy white,irregular,"Gram +ve,",Rod
Circular,Translucent,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,irregular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
Circular,Milky ,Regular,"Gram +ve,",Rod
Regular,Creamy,irregular,"Gram +ve,",Rod
Regular,Creamy white,irregular,"Gram +ve,",Rod
Circular,Translucent,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,irregular,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Regular,Creamy,irregular,"Gram -ve,",Rod
Regular,Creamy white,irregular,"Gram +ve,",Rod
Circular,Translucent,Regular,"Gram +ve,",Rod
Circular,Creamy,Regular,"Gram +ve,",Rod
Circular,Creamy,irregular,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram +ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Creamy,Regular,"Gram -ve,",Rod
Regular,Creamy,irregular,"Gram -ve,",Rod
Regular,Creamy white,irregular,"Gram -ve,",Rod
Circular,Translucent,Regular,"Gram -ve,",Rod
Circular,Creamy,Regular,"Gram -ve,",Rod
Circular,Creamy,irregular,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
Circular,Creamy,Regular,"Gram -ve,",Rod
Regular,Creamy,irregular,"Gram -ve,",Rod
Regular,Creamy white,irregular,"Gram -ve,",Rod
Circular,Translucent,Regular,"Gram -ve,",Rod
Circular,Creamy,Regular,"Gram -ve,",Rod
Circular,Creamy,irregular,"Gram -ve,",Rod
Circular,Yellow,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram -ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
round,Creamy,smooth,"Gram +ve,",Rod
Circular,Light Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Light Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Light Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Light Yellow,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,Yellow,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Circular,golden-yellow ,smooth,"Gram -ve,",Cocci
Spherical,grey white,smooth,"Gram +ve,",Cocci
Spherical,grey white,smooth,"Gram +ve,",Cocci
Spherical,grey white,smooth,"Gram +ve,",Cocci
Spherical,Yellow,smooth,"Gram +ve,",Cocci
Spherical,Yellow,smooth,"Gram +ve,",Cocci
Spherical,Milky white,smooth,"Gram +ve,",Cocci
Spherical,Milky ,smooth,"Gram +ve,",Cocci
Spherical,Milky white,smooth,"Gram +ve,",Cocci
Spherical,Milky ,smooth,"Gram +ve,",Cocci
Spherical,Milky white,smooth,"Gram +ve,",Cocci
